0.18	0.062
0.22	0.137
0.26	0.199
0.29	0.253
0.32	0.303
0.35	0.348
0.37	0.390
0.39	0.429
0.41	0.467
0.43	0.502
0.45	0.536
0.47	0.568
0.49	0.600
0.51	0.630
0.52	0.659
0.54	0.687
0.55	0.714
0.57	0.741
0.59	0.767
0.60	0.792
0.62	0.817
0.63	0.841
0.64	0.865
0.66	0.888
0.67	0.910
0.68	0.933
0.69	0.954
0.70	0.976
0.72	0.997
